template_name,template_type,epoch_index,epoch_age,excluded_self,best_match_name,best_match_type,best_match_redshift,best_match_rlap
ASASSN-15ga,Ia,0,10.0,False,,,,
ASASSN-15ga,Ia,1,17.0,False,,,,
ASASSN-15ga,Ia,2,26.0,False,,,,
ASASSN-15hy,Ia,0,102.0,False,,,,
iPTF14atg,Ia,0,-11.0,False,,,,
iPTF14atg,Ia,1,-6.0,False,,,,
iPTF14atg,Ia,2,6.0,False,,,,
iPTF14atg,Ia,3,38.0,False,,,,
iPTF14atg,Ia,4,70.0,False,,,,
LSQ12fhs,Ia,0,11.0,False,,,,
LSQ12fhs,Ia,1,17.0,False,,,,
LSQ12fhs,Ia,2,34.0,False,,,,
LSQ12gdj,Ia,0,-8.0,False,,,,
LSQ12gdj,Ia,1,-6.0,False,,,,
LSQ12gdj,Ia,2,2.0,False,,,,
LSQ12gdj,Ia,3,15.0,False,,,,
LSQ12gdj,Ia,4,23.0,False,,,,
LSQ12gdj,Ia,5,32.0,False,,,,
LSQ15adm,Ia,0,16.0,False,,,,
LSQ15adm,Ia,1,19.0,False,,,,
LSQ15adm,Ia,2,24.0,False,,,,
LSQ15adm,Ia,3,32.0,False,,,,
LSQ15adm,Ia,4,143.0,False,,,,
LSQ15adm,Ia,5,149.0,False,,,,
OGLE2012sn04,Ia,0,48.0,False,,,,
OGLE2012sn04,Ia,1,77.0,False,,Galaxy,-0.000169,13.762
OGLE2012sn04,Ia,2,115.0,False,,Galaxy,0.000176,25.646
PSNJ15053007,Ia,0,0.0,False,,,,
PSNJ15053007,Ia,1,8.0,False,,,,
PSNJ15053007,Ia,2,21.0,False,,,,
PSNJ15053007,Ia,3,30.0,False,,,,
sn1981B,Ia,0,-1.5,False,,,,
sn1981B,Ia,1,15.4,False,,,,
sn1981B,Ia,2,18.3,False,,,,
sn1981B,Ia,3,22.3,False,,,,
sn1981B,Ia,4,26.3,False,,,,
sn1981B,Ia,5,33.2,False,,,,
sn1981B,Ia,6,92.9,False,,,,
sn1981B,Ia,7,113.7,False,,,,
sn1981B,Ia,8,266.8,False,,,,
sn1984A,Ia,0,-7.0,False,,,,
sn1984A,Ia,1,-6.7,False,,,,
sn1984A,Ia,2,-5.9,False,,,,
sn1984A,Ia,3,-4.9,False,,,,
sn1984A,Ia,4,-2.8,False,,,,
sn1984A,Ia,5,8.1,False,,,,
sn1984A,Ia,6,17.0,False,,,,
sn1984A,Ia,7,19.1,False,,,,
sn1984A,Ia,8,26.2,False,,,,
sn1984A,Ia,9,54.9,False,,,,
sn1986G,Ia,0,-4.7,False,,,,
sn1986G,Ia,1,-3.7,False,,,,
sn1986G,Ia,2,1.3,False,,,,
sn1986G,Ia,3,20.7,False,,,,
sn1986G,Ia,4,21.7,False,,,,
sn1986G,Ia,5,22.7,False,,,,
sn1986G,Ia,6,31.7,False,,,,
sn1986G,Ia,7,41.2,False,,,,
sn1986G,Ia,8,44.2,False,,,,
sn1986G,Ia,9,45.2,False,,,,
sn1986G,Ia,10,49.2,False,,,,
sn1986G,Ia,11,51.7,False,,,,
sn1986G,Ia,12,-3.0,False,,,,
sn1986G,Ia,13,53.7,False,,,,
sn1986G,Ia,14,54.2,False,,,,
sn1986G,Ia,15,55.7,False,,,,
sn1986G,Ia,16,56.2,False,,,,
sn1986G,Ia,17,89.6,False,,,,
sn1986G,Ia,18,102.6,False,,,,
sn1986G,Ia,19,256.3,False,,,,
sn1986G,Ia,20,323.2,False,,,,
sn1986G,Ia,21,-2.7,False,,,,
sn1986G,Ia,22,-2.2,False,,,,
sn1986G,Ia,23,-1.2,False,,,,
sn1986G,Ia,24,-0.7,False,,,,
sn1986G,Ia,25,-0.2,False,,,,
sn1986G,Ia,26,0.3,False,,,,
sn1986G,Ia,27,0.8,False,,,,
sn1989B,Ia,0,-7.2,False,,,,
sn1989B,Ia,1,-1.3,False,,,,
sn1989B,Ia,2,15.5,False,,,,
sn1989B,Ia,3,16.5,False,,,,
sn1989B,Ia,4,17.5,False,,,,
sn1989B,Ia,5,18.5,False,,,,
sn1989B,Ia,6,19.5,False,,,,
sn1989B,Ia,7,20.5,False,,,,
sn1989B,Ia,8,21.5,False,,,,
sn1989B,Ia,9,22.5,False,,,,
